Scenario,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,slider.response,slider.rt,slider.started,slider.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,1,2,10,0,,,,,26.855029957019724,None,0.2951111111111111,0.2222918669867795,26.855029957019724,None,26.855029957019724,None,26.855029957019724,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,1,3,11,7,,,,,27.104909608024172,None,0.2951111111111111,0.14183598099043593,27.104909608024172,None,27.104909608024172,None,27.104909608024172,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,1,4,12,3,,,,,27.27171662900946,None,0.2951111111111111,0.14004858501721174,27.27171662900946,None,27.27171662900946,None,27.27171662900946,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way around in an unfamiliar mall.,1,5,13,6,,,,,27.438517223024974,None,0.2951111111111111,0.14367525800480507,27.438517223024974,None,27.438517223024974,None,27.438517223024974,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,1,6,14,1,,,,,27.604816911014495,None,0.2951111111111111,0.27550538899959065,27.604816911014495,None,27.604816911014495,None,27.604816911014495,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Trying a new route that you think will be a shortcutt without the benefit of a map.,1,7,15,4,,,,,27.9047994610155,None,0.2951111111111111,0.3073511080001481,27.9047994610155,None,27.9047994610155,None,27.9047994610155,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,2,0,16,3,,,,,28.2382163410075,None,0.2951111111111111,0.32634093301021494,28.2382163410075,None,28.2382163410075,None,28.2382163410075,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,2,1,17,7,,,,,28.588308719015913,None,0.2951111111111111,0.2916713530139532,28.588308719015913,None,28.588308719015913,None,28.588308719015913,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,2,2,18,1,,,,,28.904697406018386,None,0.2951111111111111,0.27455976299825124,28.904697406018386,None,28.904697406018386,None,28.904697406018386,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way around in an unfamiliar mall.,2,3,19,6,,,,,29.205693199008238,None,0.2951111111111111,0.6082631640019827,29.205693199008238,None,29.205693199008238,None,29.205693199008238,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",2,4,20,2,,,,,29.838396846025717,None,0.2951111111111111,1.5072760300245136,29.838396846025717,None,29.838396846025717,None,29.838396846025717,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Trying a new route that you think will be a shortcutt without the benefit of a map.,2,5,21,4,,,,,31.37234106901451,None,0.2951111111111111,1.257365031982772,31.37234106901451,None,31.37234106901451,None,31.37234106901451,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,2,6,22,5,,,,,32.654747788008535,None,0.2826666666666667,2.8063029540062416,32.654747788008535,None,32.654747788008535,None,32.654747788008535,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,2,7,23,0,,,,,35.538962688005995,None,0.28444444444444444,2.662824709987035,35.538962688005995,None,35.538962688005995,None,35.538962688005995,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Trying a new route that you think will be a shortcutt without the benefit of a map.,3,0,24,4,,,,,38.22133935702732,None,0.29244444444444445,2.759189606993459,38.22133935702732,None,38.22133935702732,None,38.22133935702732,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,3,1,25,5,,,,,41.004596369020874,None,0.2942222222222222,0.6911069630004931,41.004596369020874,None,41.004596369020874,None,41.004596369020874,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way around in an unfamiliar mall.,3,2,26,6,,,,,41.72147116702399,None,0.2942222222222222,0.5922247539856471,41.72147116702399,None,41.72147116702399,None,41.72147116702399,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,3,3,27,1,,,,,42.33786061400315,None,0.2951111111111111,0.4611217369965743,42.33786061400315,None,42.33786061400315,None,42.33786061400315,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,3,4,28,7,,,,,42.82155791201512,None,0.2951111111111111,0.4565780150005594,42.82155791201512,None,42.82155791201512,None,42.82155791201512,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,3,5,29,3,,,,,43.3046856210276,None,0.2951111111111111,0.1605478500132449,43.3046856210276,None,43.3046856210276,None,43.3046856210276,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,3,6,30,0,,,,,43.48787539001205,None,0.2951111111111111,0.162689101009164,43.48787539001205,None,43.48787539001205,None,43.48787539001205,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",3,7,31,2,,,,,43.67128783202497,None,0.2951111111111111,0.13724568398902193,43.67128783202497,None,43.67128783202497,None,43.67128783202497,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,4,0,32,5,,,,,43.83861174501362,None,0.2951111111111111,0.3057367480068933,43.83861174501362,None,43.83861174501362,None,43.83861174501362,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
