Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,Passing off somebody else's work as your own. (E),,,,,0,13,13,13,,,,,,,,,,,,,,,,,,32.12798272000509,None,32.12798272000509,None,32.12798272000509,None,3,1.196,0.007639114512130618,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Going on a vacation in a third-world country without prearranged travel and hotel accomodations. (R),,,,,0,14,14,14,,,,,,,,,,,,,,,,,,33.34552000500844,None,33.34552000500844,None,33.34552000500844,None,3,0.672,0.001837797521147877,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Arguing with a friend about ann issue on whiich he or she has a very different opinion. (S) ,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,34.04494664201047,None,34.04494664201047,None,34.04494664201047,None,3,0.66,0.00394953548675403,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Going down a ski run that is beyond your ability or closed. (R),,,,,0,16,16,16,,,,,,,,,,,,,,,,,,34.72860758501338,None,34.72860758501338,None,34.72860758501338,None,3,1.407,0.004994732531486079,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,0,17,17,17,,,,,,,,,,,,,,,,,,36.16170854200027,None,36.16170854200027,None,36.16170854200027,None,3,0.944,0.003534707531798631,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Approaching your boss to ask for a raise. (S),,,,,0,18,18,18,,,,,,,,,,,,,,,,,,37.12752780300798,None,37.12752780300798,None,37.12752780300798,None,3,0.96,0.004172213491983712,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Illegally copying a piece of software. (E) ,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,38.11231617201702,None,38.11231617201702,None,38.11231617201702,None,3,1.308,0.006034025485860184,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,39.444902323011775,None,39.444902323011775,None,39.444902323011775,None,3,0.943,0.0051942585268989205,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,0,21,21,21,,,,,,,,,,,,,,,,,,40.411053796007764,None,40.411053796007764,None,40.411053796007764,None,4,1.108,0.0025622584798838943,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,0,22,22,22,,,,,,,,,,,,,,,,,,41.54439553502016,None,41.54439553502016,None,41.54439553502016,None,5,0.994,0.004458653507754207,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Investing 5% of your annual income in an conservative stock. (I),,,,,0,23,23,23,,,,,,,,,,,,,,,,,,42.56136521601002,None,42.56136521601002,None,42.56136521601002,None,3,2.278,0.003922266478184611,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
