Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Chasing tornado or hurricane by care to take dramatic photos. (R),,,,,0,5,5,5,,,,,,,,,,,,,,,,,,25.423177485999986,None,25.423177485999986,None,25.423177485999986,None,2,0.959,0.004036639700643718,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,0,6,6,6,,,,,,,,,,,,,,,,,,26.406379993999508,None,26.406379993999508,None,26.406379993999508,None,3,1.139,0.0008753956990403822,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,0,7,7,7,,,,,,,,,,,,,,,,,,27.57370772200011,None,27.57370772200011,None,27.57370772200011,None,4,0.991,0.0012925336995976977,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Cheating by a signficiant amount on your income tax return. (E),,,,,0,8,8,8,,,,,,,,,,,,,,,,,,28.58986258599998,None,28.58986258599998,None,28.58986258599998,None,5,1.692,0.0036603207008738536,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Disagreeing with your father on a major issue. (S),,,,,0,9,9,9,,,,,,,,,,,,,,,,,,30.306371652999587,None,30.306371652999587,None,30.306371652999587,None,2,2.557,0.001820528699681745,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Betting a day's income at a high stake poker game. (G),,,,,0,10,10,10,,,,,,,,,,,,,,,,,,32.88998778199948,None,32.88998778199948,None,32.88998778199948,None,3,0.959,0.0035779956997430418,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Having an affair with a married man or woman. (E),,,,,0,11,11,11,,,,,,,,,,,,,,,,,,33.87284519700006,None,33.87284519700006,None,33.87284519700006,None,4,1.043,0.004530579700258386,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Forging somebody's signature. (E),,,,,0,12,12,12,,,,,,,,,,,,,,,,,,34.93961098999989,None,34.93961098999989,None,34.93961098999989,None,3,0.993,0.0044447907002904685,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Passing off somebody else's work as your own. (E),,,,,0,13,13,13,,,,,,,,,,,,,,,,,,35.95596026699968,None,35.95596026699968,None,35.95596026699968,None,3,1.075,0.00435195170030056,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Going on a vacation in a third-world country without prearranged travel and hotel accomodations. (R),,,,,0,14,14,14,,,,,,,,,,,,,,,,,,37.05634422999992,None,37.05634422999992,None,37.05634422999992,None,3,0.838,0.014685256400298385,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Arguing with a friend about ann issue on whiich he or she has a very different opinion. (S) ,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,37.922674679999545,None,37.922674679999545,None,37.922674679999545,None,3,0.724,0.003706563700689003,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Going down a ski run that is beyond your ability or closed. (R),,,,,0,16,16,16,,,,,,,,,,,,,,,,,,38.673322832999474,None,38.673322832999474,None,38.673322832999474,None,3,0.693,0.00498684169997432,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,0,17,17,17,,,,,,,,,,,,,,,,,,39.39002045699999,None,39.39002045699999,None,39.39002045699999,None,3,2.825,0.003358485700118763,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Approaching your boss to ask for a raise. (S),,,,,0,18,18,18,,,,,,,,,,,,,,,,,,42.23999172599997,None,42.23999172599997,None,42.23999172599997,None,3,1.193,0.0039922026999192894,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Illegally copying a piece of software. (E) ,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,43.45689733099971,None,43.45689733099971,None,43.45689733099971,None,3,1.223,0.0052670226996269776,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,44.70557542200004,None,44.70557542200004,None,44.70557542200004,None,3,1.565,0.009077149700715381,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,0,21,21,21,,,,,,,,,,,,,,,,,,46.289748164999764,None,46.289748164999764,None,46.289748164999764,None,3,1.025,0.001041765700392716,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,0,22,22,22,,,,,,,,,,,,,,,,,,47.338498494000305,None,47.338498494000305,None,47.338498494000305,None,3,1.075,0.0021043426995674963,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Investing 5% of your annual income in an conservative stock. (I),,,,,0,23,23,23,,,,,,,,,,,,,,,,,,48.438986340000156,None,48.438986340000156,None,48.438986340000156,None,3,1.693,0.0038890876985533396,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,50.156374667999444,None,50.156374667999444,None,50.156374667999444,None,3,1.642,0.0035495266993166297,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Wearing provocative or unconventionnal clothes on occasion. (S),,,,,0,25,25,25,,,,,,,,,,,,,,,,,,51.82302181799969,None,51.82302181799969,None,51.82302181799969,None,3,2.291,0.0037237006990835653,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Engaging in unprotected sex. (H),,,,,0,26,26,26,,,,,,,,,,,,,,,,,,54.13922688299954,None,54.13922688299954,None,54.13922688299954,None,3,1.079,0.0062589076997028315,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,55.238554673999715,None,55.238554673999715,None,55.238554673999715,None,3,2.627,0.00314020470068499,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,0,28,28,28,,,,,,,,,,,,,,,,,,57.88875088700024,None,57.88875088700024,None,57.88875088700024,None,3,1.123,0.000578025699724094,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,0,29,29,29,,,,,,,,,,,,,,,,,,59.03838033000011,None,59.03838033000011,None,59.03838033000011,None,3,1.14,0.0009524427005089819,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,60.205171034999694,None,60.205171034999694,None,60.205171034999694,None,3,1.258,0.0017964616999961436,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Not wearing a helment when riding a motorcycle. (H),,,,,0,31,31,31,,,,,,,,,,,,,,,,,,61.48878462599987,None,61.48878462599987,None,61.48878462599987,None,3,1.494,0.004756926699883479,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Gambling a week's income at a casino. (G),,,,,0,32,32,32,,,,,,,,,,,,,,,,,,63.005566994999754,None,63.005566994999754,None,63.005566994999754,None,3,1.875,0.005142041700310074,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Taking a job thatt you enjoy over one that is presitgious but less enjoyable. (S),,,,,0,33,33,33,,,,,,,,,,,,,,,,,,64.9058175909995,None,64.9058175909995,None,64.9058175909995,None,3,0.991,0.0015416146998177283,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Defending an unpopular issue that you believe in at a social occasion. (S),,,,,0,34,34,34,,,,,,,,,,,,,,,,,,65.92202396700031,None,65.92202396700031,None,65.92202396700031,None,3,3.842,0.0017903927000588737,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Exposing yourself to the sun without using sunscreen. (H),,,,,0,35,35,35,,,,,,,,,,,,,,,,,,69.78861766999944,None,69.78861766999944,None,69.78861766999944,None,3,0.926,0.0026521377003518865,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Trying out bungee jumping at least once. (R),,,,,0,36,36,36,,,,,,,,,,,,,,,,,,70.73834990399973,None,70.73834990399973,None,70.73834990399973,None,3,1.743,0.0035131017002640874,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,"Piloting your own small plane, if you could. (R) ",,,,,0,37,37,37,,,,,,,,,,,,,,,,,,72.50512318500023,None,72.50512318500023,None,72.50512318500023,None,3,0.81,0.004724075699414243,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Walking home alone at night in a somewhat unsafe area of town. (H),,,,,0,38,38,38,,,,,,,,,,,,,,,,,,73.3390524460001,None,73.3390524460001,None,73.3390524460001,None,3,1.06,0.0043187727005715715,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Regularly eating high cholesterol foods. (H) ,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,74.42276766499981,None,74.42276766499981,None,74.42276766499981,None,3,1.346,0.005281465700136323,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.82347707699955,None,,,,,,,,,
