Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,unlikely.started,unlikely.stopped,neutral.started,neutral.stopped,Likely.started,Likely.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating3.response,rating3.rt,rating3.started,rating3.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating4.response,rating4.rt,rating4.started,rating4.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Betting a day's income at the horse races. (G),,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,17.24613908000174,None,17.24613908000174,None,17.24613908000174,None,5,0.41,0.005624097597319633,None,4.0,17.24613908000174,None,17.24613908000174,None,17.24613908000174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Buying an illegal drug for your own use. (H),,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,17.679798391996883,None,17.679798391996883,None,17.679798391996883,None,5,0.408,0.004970123583916575,None,4.0,17.679798391996883,None,17.679798391996883,None,17.679798391996883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Cheating on an exam. (E),,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,18.112350195995532,None,18.112350195995532,None,18.112350195995532,None,5,0.409,0.004184809600701556,None,4.0,18.112350195995532,None,18.112350195995532,None,18.112350195995532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,18.546308857999975,None,18.546308857999975,None,18.546308857999975,None,5,0.459,0.004091706592589617,None,4.0,18.546308857999975,None,18.546308857999975,None,18.546308857999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,19.02940081700217,None,19.02940081700217,None,19.02940081700217,None,5,0.407,0.0021192145941313356,None,4.0,19.02940081700217,None,19.02940081700217,None,19.02940081700217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,19.461366741001257,None,19.461366741001257,None,19.461366741001257,None,5,0.423,0.0007824766071280465,None,4.0,19.461366741001257,None,19.461366741001257,None,19.461366741001257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Cheating by a significant amount on your income tax return. (E),,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,19.92951065399393,None,19.92951065399393,None,19.92951065399393,None,5,0.41,0.0032619496050756425,None,4.0,19.92951065399393,None,19.92951065399393,None,19.92951065399393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Disagreeing with your father on a major issue. (S),,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,20.36241537099704,None,20.36241537099704,None,20.36241537099704,None,5,0.459,0.0057010895980056375,None,4.0,20.36241537099704,None,20.36241537099704,None,20.36241537099704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Betting a day's income at a high stake poker game. (G),,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,20.845217875990784,None,20.845217875990784,None,20.845217875990784,None,5,0.429,0.005835689589730464,None,4.0,20.845217875990784,None,20.845217875990784,None,20.845217875990784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Having an affair with a married man or woman. (E),,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,21.29502626300382,None,21.29502626300382,None,21.29502626300382,None,5,0.443,0.006965928609133698,None,4.0,21.29502626300382,None,21.29502626300382,None,21.29502626300382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Forging somebody's signature. (E),,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,21.761611420995905,None,21.761611420995905,None,21.761611420995905,None,5,0.445,0.007515336605138145,None,4.0,21.761611420995905,None,21.761611420995905,None,21.761611420995905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Passing off somebody else's work as your own. (E),,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,22.229364815997542,None,22.229364815997542,None,22.229364815997542,None,5,0.407,0.0033930065983440727,None,4.0,22.229364815997542,None,22.229364815997542,None,22.229364815997542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,22.661939801997505,None,22.661939801997505,None,22.661939801997505,None,5,0.439,0.00078277759894263,None,4.0,22.661939801997505,None,22.661939801997505,None,22.661939801997505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,23.128971030993853,None,23.128971030993853,None,23.128971030993853,None,5,0.473,0.004901665612123907,None,4.0,23.128971030993853,None,23.128971030993853,None,23.128971030993853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Going down a ski run that is beyond your ability or closed. (R),,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,23.629398361998028,None,23.629398361998028,None,23.629398361998028,None,5,0.406,0.004326557595049962,None,4.0,23.629398361998028,None,23.629398361998028,None,23.629398361998028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,24.062399333997746,None,24.062399333997746,None,24.062399333997746,None,5,0.406,0.0001541326055303216,None,4.0,24.062399333997746,None,24.062399333997746,None,24.062399333997746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Approaching your boss to ask for a raise. (S),,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,24.49623453798995,None,24.49623453798995,None,24.49623453798995,None,5,0.441,0.0036505796160781756,None,4.0,24.49623453798995,None,24.49623453798995,None,24.49623453798995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Illegally copying a piece of software. (E) ,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,24.962729933991795,None,24.962729933991795,None,24.962729933991795,None,5,0.409,0.005121541616972536,None,4.0,24.962729933991795,None,24.962729933991795,None,24.962729933991795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,25.395162499000435,None,25.395162499000435,None,25.395162499000435,None,5,0.442,0.002672906601219438,None,4.0,25.395162499000435,None,25.395162499000435,None,25.395162499000435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,25.862218444992322,None,25.862218444992322,None,25.862218444992322,None,4,0.475,0.0032553725905017927,None,3.0,25.862218444992322,None,25.862218444992322,None,25.862218444992322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,26.37885130700306,None,26.37885130700306,None,26.37885130700306,None,4,0.403,0.0017435035988455638,None,3.0,26.37885130700306,None,26.37885130700306,None,26.37885130700306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Investing 5% of your annual income in an conservative stock. (I),,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,26.811461944991606,None,26.811461944991606,None,26.811461944991606,None,4,0.462,0.006534476604429074,None,3.0,26.811461944991606,None,26.811461944991606,None,26.811461944991606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,27.294709145004163,None,27.294709145004163,None,27.294709145004163,None,4,0.419,0.00041476660408079624,None,3.0,27.294709145004163,None,27.294709145004163,None,27.294709145004163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Wearing provocative or unconventional clothes on occasion. (S),,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,27.745532871995238,None,27.745532871995238,None,27.745532871995238,None,4,0.531,0.008362742606550455,None,3.0,27.745532871995238,None,27.745532871995238,None,27.745532871995238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Engaging in unprotected sex. (H),,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,28.2952418269997,None,28.2952418269997,None,28.2952418269997,None,4,0.544,0.005114142608363181,None,3.0,28.2952418269997,None,28.2952418269997,None,28.2952418269997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,28.861659670990775,None,28.861659670990775,None,28.861659670990775,None,4,0.406,0.0015861085848882794,None,3.0,28.861659670990775,None,28.861659670990775,None,28.861659670990775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,29.294764714999474,None,29.294764714999474,None,29.294764714999474,None,4,0.41,0.006309923599474132,None,3.0,29.294764714999474,None,29.294764714999474,None,29.294764714999474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,29.72813107499678,None,29.72813107499678,None,29.72813107499678,None,4,0.537,0.0007648675964446738,None,3.0,29.72813107499678,None,29.72813107499678,None,29.72813107499678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,30.2942902270006,None,30.2942902270006,None,30.2942902270006,None,4,0.424,0.0016969855932984501,None,3.0,30.2942902270006,None,30.2942902270006,None,30.2942902270006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Not wearing a helmet when riding a motorcycle. (H),,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,30.74558105399774,None,30.74558105399774,None,30.74558105399774,None,4,0.444,0.004527154611423612,None,3.0,30.74558105399774,None,30.74558105399774,None,30.74558105399774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Gambling a week's income at a casino. (G),,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,31.21238990499114,None,31.21238990499114,None,31.21238990499114,None,4,0.479,0.006533683597808704,None,3.0,31.21238990499114,None,31.21238990499114,None,31.21238990499114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Taking a job that you enjoy over one that is prestigious but less enjoyable. (S),,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,31.711804602004122,None,31.711804602004122,None,31.711804602004122,None,4,0.481,0.006048740600817837,None,3.0,31.711804602004122,None,31.711804602004122,None,31.711804602004122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Defending an unpopular issue that you believe in at a social occasion. (S),,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,32.21167105699715,None,32.21167105699715,None,32.21167105699715,None,4,0.508,0.007230712581076659,None,3.0,32.21167105699715,None,32.21167105699715,None,32.21167105699715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Exposing yourself to the sun without using sunscreen. (H),,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,32.74507933699351,None,32.74507933699351,None,32.74507933699351,None,4,0.515,0.00630430260207504,None,3.0,32.74507933699351,None,32.74507933699351,None,32.74507933699351,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Trying out bungee jumping at least once. (R),,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,33.29468300800363,None,33.29468300800363,None,33.29468300800363,None,4,0.425,0.003409847602597438,None,3.0,33.29468300800363,None,33.29468300800363,None,33.29468300800363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,"Piloting your own small plane, if you could. (R) ",,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,33.74470814099186,None,33.74470814099186,None,33.74470814099186,None,4,0.506,0.002380023608566262,None,3.0,33.74470814099186,None,33.74470814099186,None,33.74470814099186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Walking home alone at night in a somewhat unsafe area of town. (H),,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,34.27863649900246,None,34.27863649900246,None,34.27863649900246,None,4,0.5,0.00818239658838138,None,3.0,34.27863649900246,None,34.27863649900246,None,34.27863649900246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Regularly eating high cholesterol foods. (H) ,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,34.795413594998536,None,34.795413594998536,None,34.795413594998536,None,4,0.495,0.007790305593516678,None,3.0,34.795413594998536,None,34.795413594998536,None,34.795413594998536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Admitting that your tastes are different from those of your friends. (S),,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,35.29415424999024,None,35.34532145000412,None,4,0.861,0.003602997603593394,None,35.34532145000412,None,35.34532145000412,None,35.34532145000412,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,36.22749176999787,None,4,0.406,0.01641285719233565,None,36.22749176999787,None,36.22749176999787,None,36.22749176999787,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Betting a day's income at the horse races. (G),,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,36.661422860997845,None,4,0.497,0.007149224606109783,None,36.661422860997845,None,36.661422860997845,None,36.661422860997845,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Buying an illegal drug for your own use. (H),,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,37.17818169000384,None,4,0.556,0.004181399606750347,None,37.17818169000384,None,37.17818169000384,None,37.17818169000384,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Cheating on an exam. (E),,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,37.76173488800123,None,4,0.561,0.005113027596962638,None,37.76173488800123,None,37.76173488800123,None,37.76173488800123,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,38.345583692003856,None,4,0.523,0.0014388626004802063,None,38.345583692003856,None,38.345583692003856,None,38.345583692003856,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,38.89514947000134,None,4,0.549,0.007706062606303021,None,38.89514947000134,None,38.89514947000134,None,38.89514947000134,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,39.46105483199062,None,4,0.581,0.008045052600209601,None,39.46105483199062,None,39.46105483199062,None,39.46105483199062,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Cheating by a significant amount on your income tax return. (E),,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,40.06122371199308,None,4,0.564,0.007753713594865985,None,40.06122371199308,None,40.06122371199308,None,40.06122371199308,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Disagreeing with your father on a major issue. (S),,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,40.64495266700396,None,4,0.609,0.0022827196080470458,None,40.64495266700396,None,40.64495266700396,None,40.64495266700396,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Betting a day's income at a high stake poker game. (G),,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,41.27794646199618,None,4,0.41,0.004992023605154827,None,41.27794646199618,None,41.27794646199618,None,41.27794646199618,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Having an affair with a married man or woman. (E),,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,41.71122585500416,None,4,0.575,0.0016952106088865548,None,41.71122585500416,None,41.71122585500416,None,41.71122585500416,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Forging somebody's signature. (E),,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,42.31150590500329,None,4,0.627,0.0031769776105647907,None,42.31150590500329,None,42.31150590500329,None,42.31150590500329,None,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
