Scenario,C,Charac,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating3.response,rating3.rt,rating3.started,rating3.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating4.response,rating4.rt,rating4.started,rating4.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,rating5.response,rating5.rt,rating5.started,rating5.stopped,characText.started,characText.stopped,Someone.started,Someone.stopped,disagreeStrongly.started,disagreeStrongly.stopped,disagreeALittle.started,disagreeALittle.stopped,Neutral.started,Neutral.stopped,AgreeALittle.started,AgreeALittle.stopped,AgreeStrongly.started,AgreeStrongly.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Having an affair with a married man or woman. (E),,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.028415095002856,None,18.028415095002856,None,18.028415095002856,None,3,0.407,0.0032663251913618296,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Forging somebody's signature. (E),,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.461543065001024,None,18.461543065001024,None,18.461543065001024,None,3,0.409,0.006911570191732608,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Passing off somebody else's work as your own. (E),,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.894680904006236,None,18.894680904006236,None,18.894680904006236,None,3,0.41,0.005142226189491339,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.327637506998144,None,19.327637506998144,None,19.327637506998144,None,3,0.409,0.004095478187082335,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.76160380600777,None,19.76160380600777,None,19.76160380600777,None,3,0.407,0.002986559207784012,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Going down a ski run that is beyond your ability or closed. (R),,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.194569426996168,None,20.194569426996168,None,20.194569426996168,None,3,0.411,0.006664486209047027,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.627621599996928,None,20.627621599996928,None,20.627621599996928,None,3,0.409,0.003801075217779726,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Approaching your boss to ask for a raise. (S),,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.061284481009352,None,21.061284481009352,None,21.061284481009352,None,3,0.407,0.003740444197319448,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Illegally copying a piece of software. (E) ,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.49547845000052,None,21.49547845000052,None,21.49547845000052,None,3,0.408,0.004514826199738309,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.928640489000827,None,21.928640489000827,None,21.928640489000827,None,3,0.407,0.0040511002007406205,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.36160936600936,None,22.36160936600936,None,22.36160936600936,None,3,0.407,0.0026309531822334975,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.795138118002797,None,22.795138118002797,None,22.795138118002797,None,3,0.407,0.003467322196229361,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 5% of your annual income in an conservative stock. (I),,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.229086608000216,None,23.229086608000216,None,23.229086608000216,None,3,0.544,0.003916114190360531,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.794985701999394,None,23.794985701999394,None,23.794985701999394,None,3,0.406,0.0019730981875909492,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Wearing provocative or unconventional clothes on occasion. (S),,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.228059387998655,None,24.228059387998655,None,24.228059387998655,None,3,0.436,0.0019040771876461804,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Engaging in unprotected sex. (H),,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.69482233400049,None,24.69482233400049,None,24.69482233400049,None,3,0.411,0.006977911209105514,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.127836769999703,None,25.127836769999703,None,25.127836769999703,None,3,0.409,0.005764814195572399,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.561422817001585,None,25.561422817001585,None,25.561422817001585,None,3,0.406,0.0013854432036168873,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0112394230091,None,26.0112394230091,None,26.0112394230091,None,3,0.542,0.002320966203114949,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.578119990997948,None,26.578119990997948,None,26.578119990997948,None,3,0.413,0.006248030214919709,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Not wearing a helmet when riding a motorcycle. (H),,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.028722073999234,None,27.028722073999234,None,27.028722073999234,None,3,0.541,0.004051201191032305,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Gambling a week's income at a casino. (G),,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.594526015003794,None,27.594526015003794,None,27.594526015003794,None,3,0.411,0.006649408212979324,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Taking a job that you enjoy over one that is prestigious but less enjoyable. (S),,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.027309502009302,None,28.027309502009302,None,28.027309502009302,None,3,0.406,0.016273924396955408,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Defending an unpopular issue that you believe in at a social occasion. (S),,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.461208748005447,None,28.461208748005447,None,28.461208748005447,None,3,0.409,0.0039983932074392214,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Exposing yourself to the sun without using sunscreen. (H),,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.894302886008518,None,28.894302886008518,None,28.894302886008518,None,3,0.529,0.0029653741949005052,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Trying out bungee jumping at least once. (R),,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.461661270004697,None,29.461661270004697,None,29.461661270004697,None,3,0.413,0.004930451206746511,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,"Piloting your own small plane, if you could. (R) ",,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.911268345997087,None,29.911268345997087,None,29.911268345997087,None,3,0.41,0.00524716118525248,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Walking home alone at night in a somewhat unsafe area of town. (H),,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.345469727995805,None,30.345469727995805,None,30.345469727995805,None,3,0.407,0.002941209197160788,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Regularly eating high cholesterol foods. (H) ,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.77859932600404,None,30.77859932600404,None,30.77859932600404,None,3,0.544,0.003967202195781283,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Admitting that your tastes are different from those of your friends. (S),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,31.328936796009657,None,31.57801905600354,None,3,1.121,0.015135859401198104,None,31.57801905600354,None,31.57801905600354,None,31.57801905600354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,32.71244793900405,None,3,0.417,0.014386110415216535,None,32.71244793900405,None,32.71244793900405,None,32.71244793900405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Betting a day's income at the horse races. (G),,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,33.16173814999638,None,3,1.041,0.0030015781958354637,None,33.16173814999638,None,33.16173814999638,None,33.16173814999638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Buying an illegal drug for your own use. (H),,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,34.228873560001375,None,3,0.679,0.005189477204112336,None,34.228873560001375,None,34.228873560001375,None,34.228873560001375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Cheating on an exam. (E),,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,34.927916968998034,None,3,2.724,0.005018460200517438,None,34.927916968998034,None,34.927916968998034,None,34.927916968998034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,37.678547887000605,None,3,0.51,0.004596892191329971,None,37.678547887000605,None,37.678547887000605,None,37.678547887000605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,38.21121406600287,None,3,2.582,0.008665099201607518,None,38.21121406600287,None,38.21121406600287,None,38.21121406600287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,40.81172422099917,None,3,0.457,0.0038126911967992783,None,40.81172422099917,None,40.81172422099917,None,40.81172422099917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Cheating by a significant amount on your income tax return. (E),,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,41.29473181400681,None,3,0.415,0.00767603718850296,None,41.29473181400681,None,41.29473181400681,None,41.29473181400681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Disagreeing with your father on a major issue. (S),,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,41.727831106007216,None,3,0.453,0.0013692822103621438,None,41.727831106007216,None,41.727831106007216,None,41.727831106007216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Betting a day's income at a high stake poker game. (G),,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,42.21116183800041,None,3,0.428,0.002649684189236723,None,42.21116183800041,None,42.21116183800041,None,42.21116183800041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
