Scenario,C,Charac,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating_4.response,rating_4.rt,rating_4.started,rating_4.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating_3.response,rating_3.rt,rating_3.started,rating_3.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,rating_5.response,rating_5.rt,rating_5.started,rating_5.stopped,characText.started,characText.stopped,Someone.started,Someone.stopped,disagreeStrongly.started,disagreeStrongly.stopped,disagreeALittle.started,disagreeALittle.stopped,Neutral.started,Neutral.stopped,AgreeALittle.started,AgreeALittle.stopped,AgreeStrongly.started,AgreeStrongly.stopped,congratsText.started,congratsText.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.55297826199967,None,21.55297826199967,None,21.55297826199967,None,2,0.41,0.006385046699506347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.986732298999414,None,21.986732298999414,None,21.986732298999414,None,2,0.521,0.015905885400570696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.53551679500015,None,22.53551679500015,None,22.53551679500015,None,2,0.422,0.0008640337009637733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Cheating by a significant amount on your income tax return. (E),,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.985871387999396,None,22.985871387999396,None,22.985871387999396,None,2,0.493,0.006587734700588044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Disagreeing with your father on a major issue. (S),,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.502428306999718,None,23.502428306999718,None,23.502428306999718,None,2,0.411,0.004281458700461371,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Betting a day's income at a high stake poker game. (G),,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.936704501999884,None,23.936704501999884,None,23.936704501999884,None,2,0.506,0.0029532197004300542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Having an affair with a married man or woman. (E),,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.46915015600007,None,24.46915015600007,None,24.46915015600007,None,2,0.408,0.005452181701002701,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Forging somebody's signature. (E),,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.902274674000182,None,24.902274674000182,None,24.902274674000182,None,2,0.428,0.0057971826990979025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Passing off somebody else's work as your own. (E),,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.352573383000163,None,25.352573383000163,None,25.352573383000163,None,2,0.41,0.005311464699843782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Going on a vacation in a third-world country without prearranged travel and hotel accommodations. (R),,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.78575785799967,None,25.78575785799967,None,25.78575785799967,None,2,0.487,0.015776044399899547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Arguing with a friend about an issue on which he or she has a very different opinion. (S) ,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.30335033099982,None,26.30335033099982,None,26.30335033099982,None,2,0.408,0.003948884699639166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Going down a ski run that is beyond your ability or closed. (R),,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.736591957999735,None,26.736591957999735,None,26.736591957999735,None,2,0.407,0.004087684699698002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 5% of your annual income in a very speculative stock. (I),,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.16988041500008,None,27.16988041500008,None,27.16988041500008,None,2,0.41,0.0036611227005778346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Approaching your boss to ask for a raise. (S),,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.602728783000202,None,27.602728783000202,None,27.602728783000202,None,2,0.409,0.0047879527000986855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Illegally copying a piece of software. (E) ,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.036199762999786,None,28.036199762999786,None,28.036199762999786,None,2,0.642,0.0038509547002831823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Going whitewater rafting during rapid water flows in the spring. (R) ,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.70318826499988,None,28.70318826499988,None,28.70318826499988,None,2,0.539,0.0017316316998403636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,"Betting a day's income on the outcome of a sporting event (e.g. baseball, soccer, or football). (G)",,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.26942423699984,None,29.26942423699984,None,29.26942423699984,None,2,0.407,0.0030696657004227745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Telling a friend if his or her significant other has made a pass at you. (S),,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.70271355800014,None,29.70271355800014,None,29.70271355800014,None,2,0.509,0.004008694701042259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 5% of your annual income in an conservative stock. (I),,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.23601029600013,None,30.23601029600013,None,30.23601029600013,None,2,0.404,0.0024869627004591166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6696586879998,None,30.6696586879998,None,30.6696586879998,None,2,0.609,0.004896365700005845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Wearing provocative or unconventional clothes on occasion. (S),,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.30258232899996,None,31.30258232899996,None,31.30258232899996,None,2,0.406,0.0026399257003504317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Engaging in unprotected sex. (H),,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.735539471000266,None,31.735539471000266,None,31.735539471000266,None,2,0.531,0.008524083700649498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Stealing an additional TV cable connection off the one you pay for. (E) ,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.285706214999664,None,32.285706214999664,None,32.285706214999664,None,2,0.64,0.0010816467001859564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Not wearing a seatbelt when being a passenger in the front seat. (H),,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.95287038399965,None,32.95287038399965,None,32.95287038399965,None,2,0.536,0.001115406699682353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 10% of your annual income in governmental bonds (treasury bills). (I),,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.51973098799954,None,33.51973098799954,None,33.51973098799954,None,2,0.409,0.003817890698883275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.95282351900005,None,33.95282351900005,None,33.95282351900005,None,2,0.431,0.0018445576997692115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Not wearing a helmet when riding a motorcycle. (H),,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.41957511599958,None,34.41957511599958,None,34.41957511599958,None,2,0.541,0.0030229396998038283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Gambling a week's income at a casino. (G),,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.986211237000134,None,34.986211237000134,None,34.986211237000134,None,2,0.613,0.006957571700695553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Taking a job that you enjoy over one that is prestigious but less enjoyable. (S),,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6194524069997,None,35.6194524069997,None,35.6194524069997,None,2,0.611,0.005621677700219152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Defending an unpopular issue that you believe in at a social occasion. (S),,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.25187356399965,None,36.25187356399965,None,36.25187356399965,None,2,0.421,0.0016420437004853738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Exposing yourself to the sun without using sunscreen. (H),,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.702861341000244,None,36.702861341000244,None,36.702861341000244,None,2,0.543,0.0024091067007248057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Trying out bungee jumping at least once. (R),,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.285838699000124,None,37.285838699000124,None,37.285838699000124,None,2,0.409,0.004804872699423868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,"Piloting your own small plane, if you could. (R) ",,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.719522870999754,None,37.719522870999754,None,37.719522870999754,None,2,0.544,0.007764617700559029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Walking home alone at night in a somewhat unsafe area of town. (H),,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.28564511900004,None,38.28564511900004,None,38.28564511900004,None,2,0.406,0.001119976700465486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Regularly eating high cholesterol foods. (H) ,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.71886021699993,None,38.71886021699993,None,38.71886021699993,None,2,0.525,0.005693881700608472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Admitting that your tastes are different from those of your friends. (S),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3198053899996,None,39.571016969000084,None,2,1.89,0.00038617470090684947,None,39.571016969000084,None,39.571016969000084,None,39.571016969000084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.485804207999536,None,2,0.48,0.002564169701145147,None,41.485804207999536,None,41.485804207999536,None,41.485804207999536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Betting a day's income at the horse races. (G),,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00186878899967,None,2,0.594,0.0040471746997354785,None,42.00186878899967,None,42.00186878899967,None,42.00186878899967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Buying an illegal drug for your own use. (H),,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.618947126999956,None,2,0.562,0.004173472701040737,None,42.618947126999956,None,42.618947126999956,None,42.618947126999956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Cheating on an exam. (E),,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.219457329999386,None,2,0.492,0.006244523700843274,None,43.219457329999386,None,43.219457329999386,None,43.219457329999386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.735895816000266,None,2,0.491,0.0027799566996691283,None,43.735895816000266,None,43.735895816000266,None,43.735895816000266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.25165425399973,None,2,0.523,0.0009004447001643712,None,44.25165425399973,None,44.25165425399973,None,44.25165425399973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.80208497500007,None,2,0.443,0.00417261270013114,None,44.80208497500007,None,44.80208497500007,None,44.80208497500007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Cheating by a significant amount on your income tax return. (E),,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.28524420600024,None,2,0.41,0.003016271699380013,None,45.28524420600024,None,45.28524420600024,None,45.28524420600024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Disagreeing with your father on a major issue. (S),,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.719264755999575,None,2,0.521,0.003607052700317581,None,45.719264755999575,None,45.719264755999575,None,45.719264755999575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Betting a day's income at a high stake poker game. (G),,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.26873466399957,None,2,0.765,0.006331998700261465,None,46.26873466399957,None,46.26873466399957,None,46.26873466399957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
