Scenario,C,Charac,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,unlikely.started,unlikely.stopped,neutral.started,neutral.stopped,Likely.started,Likely.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating3.response,rating3.rt,rating3.started,rating3.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating4.response,rating4.rt,rating4.started,rating4.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,rating5.response,rating5.rt,rating5.started,rating5.stopped,characText.started,characText.stopped,Someone.started,Someone.stopped,disagreeStrongly.started,disagreeStrongly.stopped,disagreeALittle.started,disagreeALittle.stopped,Neutral.started,Neutral.stopped,AgreeALittle.started,AgreeALittle.stopped,AgreeStrongly.started,AgreeStrongly.stopped,congratsText.started,congratsText.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Asking your boss for a raise. (S),,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.180602951993933,None,15.180602951993933,None,15.180602951993933,None,3,0.59,0.00465356330096256,None,2.0,15.180602951993933,None,15.180602951993933,None,15.180602951993933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Betting a day's income at the horse races. (F),,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.797467014999711,None,15.797467014999711,None,15.797467014999711,None,2,0.506,0.002246964315418154,None,1.0,15.797467014999711,None,15.797467014999711,None,15.797467014999711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Buying an illegal drug for your own use. (E),,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.380524067993974,None,16.380524067993974,None,16.380524067993974,None,2,0.462,0.005830945199704729,None,1.0,16.380524067993974,None,16.380524067993974,None,16.380524067993974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Chasing a tornado by car to take photos that you can sell to the press. (R) ,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.863853923001443,None,16.863853923001443,None,16.863853923001443,None,2,0.44,0.0014547713071806356,None,1.0,16.863853923001443,None,16.863853923001443,None,16.863853923001443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Cheating a fair amount on your income tax. (E) ,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.330760249999003,None,17.330760249999003,None,17.330760249999003,None,2,0.409,0.005251351307379082,None,1.0,17.330760249999003,None,17.330760249999003,None,17.330760249999003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Cheating on an exam. (E) ,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.764520187993185,None,17.764520187993185,None,17.764520187993185,None,2,0.661,0.006123749306425452,None,1.0,17.764520187993185,None,17.764520187993185,None,17.764520187993185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Co-signing a new car loan for a friend. (F),,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.447226192991366,None,18.447226192991366,None,18.447226192991366,None,2,0.476,0.0035478553036227822,None,1.0,18.447226192991366,None,18.447226192991366,None,18.447226192991366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Dating someone that you are working with. (S),,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.947668927998166,None,18.947668927998166,None,18.947668927998166,None,2,0.424,0.004713324306067079,None,1.0,18.947668927998166,None,18.947668927998166,None,18.947668927998166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Deciding to share an apartment with someone you don't know well. (S),,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.397770655996283,None,19.397770655996283,None,19.397770655996283,None,2,0.439,0.002463294309563935,None,1.0,19.397770655996283,None,19.397770655996283,None,19.397770655996283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Disagreeing with your father on a major issue. (S),,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8643876399874,None,19.8643876399874,None,19.8643876399874,None,2,0.424,0.003783217311138287,None,1.0,19.8643876399874,None,19.8643876399874,None,19.8643876399874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Driving home after you had three drinks in the last two hours. (E),,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.314398130998597,None,20.314398130998597,None,20.314398130998597,None,2,0.491,0.004231703307596035,None,1.0,20.314398130998597,None,20.314398130998597,None,20.314398130998597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Eating 'expired' food products that still 'look okay'. (H),,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.830774282992934,None,20.830774282992934,None,20.830774282992934,None,2,0.411,0.007243790314532816,None,1.0,20.830774282992934,None,20.830774282992934,None,20.830774282992934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Exploring an unknown city or section of town. (R) ,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.263906945998315,None,21.263906945998315,None,21.263906945998315,None,2,0.658,0.002820174297085032,None,1.0,21.263906945998315,None,21.263906945998315,None,21.263906945998315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Forging somebody's signature. (E),,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.947442933000275,None,21.947442933000275,None,21.947442933000275,None,2,0.409,0.003837150303297676,None,1.0,21.947442933000275,None,21.947442933000275,None,21.947442933000275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Frequent binge drinking. (H),,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.38134779399843,None,22.38134779399843,None,22.38134779399843,None,3,0.407,0.002913047297624871,None,2.0,22.38134779399843,None,22.38134779399843,None,22.38134779399843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Going camping in the wild. (R),,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.814266193992808,None,22.814266193992808,None,22.814266193992808,None,3,0.528,0.006157540308777243,None,2.0,22.814266193992808,None,22.814266193992808,None,22.814266193992808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Going down a ski run that is too hard or closed. (R),,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.363709548997576,None,23.363709548997576,None,23.363709548997576,None,2,0.407,0.002554804304963909,None,1.0,23.363709548997576,None,23.363709548997576,None,23.363709548997576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Going on a safari in Kenya. (R) ,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.797342372999992,None,23.797342372999992,None,23.797342372999992,None,2,0.559,0.0031741393031552434,None,1.0,23.797342372999992,None,23.797342372999992,None,23.797342372999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Going on a two-week vacation in a foreign country without booking accommodations ahead. (R),,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.380620350988465,None,24.380620350988465,None,24.380620350988465,None,2,0.607,0.0010265293094562367,None,1.0,24.380620350988465,None,24.380620350988465,None,24.380620350988465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Going whitewater rafting at high water in the spring. (R),,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.014307246994576,None,25.014307246994576,None,25.014307246994576,None,2,0.405,0.0013919542980147526,None,1.0,25.014307246994576,None,25.014307246994576,None,25.014307246994576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Ignoring some persistent physical pain by not going to the doctor. (H),,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.446870585990837,None,25.446870585990837,None,25.446870585990837,None,2,0.419,0.015741253606393002,None,1.0,25.446870585990837,None,25.446870585990837,None,25.446870585990837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Illegally copying a piece of software. (E),,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.897351622988936,None,25.897351622988936,None,25.897351622988936,None,2,0.407,0.004479486291529611,None,1.0,25.897351622988936,None,25.897351622988936,None,25.897351622988936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Taking a medical drug that has a high likelihood of negative side effects. (H),,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.330432987990207,None,26.330432987990207,None,26.330432987990207,None,2,0.407,0.0018369563040323555,None,1.0,26.330432987990207,None,26.330432987990207,None,26.330432987990207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Traveling on a commercial airplane. (R) ,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.763867880988983,None,26.763867880988983,None,26.763867880988983,None,2,0.591,0.004171085325651802,None,1.0,26.763867880988983,None,26.763867880988983,None,26.763867880988983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Plagiarizing a term paper. (E) ,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.380350699997507,None,27.380350699997507,None,27.380350699997507,None,2,0.41,0.006725088300299831,None,1.0,27.380350699997507,None,27.380350699997507,None,27.380350699997507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Engaging in unprotected sex. (H),,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.81363887200132,None,27.81363887200132,None,27.81363887200132,None,2,0.41,0.005411992300651036,None,1.0,27.81363887200132,None,27.81363887200132,None,27.81363887200132,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Investing 10% of your annual income in a blue chip stock. (F),,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.24676285299938,None,28.24676285299938,None,28.24676285299938,None,2,0.667,0.01455811460618861,None,1.0,28.24676285299938,None,28.24676285299938,None,28.24676285299938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Investing 10% of your annual income in a very speculative stock. (F),,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.94682057799946,None,28.94682057799946,None,28.94682057799946,None,2,0.408,0.0030602703045587987,None,1.0,28.94682057799946,None,28.94682057799946,None,28.94682057799946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Investing 10% of your annual income in government bonds (treasury bills). (F),,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.380003977988963,None,29.380003977988963,None,29.380003977988963,None,2,0.752,0.015360747594968416,None,1.0,29.380003977988963,None,29.380003977988963,None,29.380003977988963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Investing in a business that has a good chance of failing. (F),,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.163733526991564,None,30.163733526991564,None,30.163733526991564,None,2,0.406,0.0031306053133448586,None,1.0,30.163733526991564,None,30.163733526991564,None,30.163733526991564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Leading in a friend an amount of money equivalent to one month's income. (F),,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.597242591000395,None,30.597242591000395,None,30.597242591000395,None,3,0.408,0.0032985363068291917,None,2.0,30.597242591000395,None,30.597242591000395,None,30.597242591000395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Moving to a new city. (S),,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.030973978995462,None,31.030973978995462,None,31.030973978995462,None,3,0.409,0.0047838663012953475,None,2.0,31.030973978995462,None,31.030973978995462,None,31.030973978995462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Never using sunscreen when you sunbathe. (H),,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.464450833998853,None,31.464450833998853,None,31.464450833998853,None,3,0.674,0.004182648306596093,None,2.0,31.464450833998853,None,31.464450833998853,None,31.464450833998853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Never wearing a seatbelt. (H),,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.16372719699575,None,32.16372719699575,None,32.16372719699575,None,2,0.41,0.0063967392925405875,None,1.0,32.16372719699575,None,32.16372719699575,None,32.16372719699575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Not having a smoke alarm in or outside of your bedroom. (H),,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.597358960993006,None,32.597358960993006,None,32.597358960993006,None,2,0.639,0.003355556313181296,None,1.0,32.597358960993006,None,32.597358960993006,None,32.597358960993006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Openly disagreeing with your boss in front of your coworkers. (S),,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.263977483991766,None,33.263977483991766,None,33.263977483991766,None,2,0.405,0.0007362243050010875,None,1.0,33.263977483991766,None,33.263977483991766,None,33.263977483991766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Periodically engaging in a dangerous sport (e.g. mountain climbing or sky diving). (R) ,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69676700000127,None,33.69676700000127,None,33.69676700000127,None,2,0.637,0.00022944230295252055,None,1.0,33.69676700000127,None,33.69676700000127,None,33.69676700000127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Regularly riding your bicycle without a helmet. (H),,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.36341705099039,None,34.36341705099039,None,34.36341705099039,None,1,0.675,0.0031020802998682484,None,0,34.36341705099039,None,34.36341705099039,None,34.36341705099039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Shoplifting a small item (e.g. a lipstick or a pen). (E) ,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06335689399566,None,35.06335689399566,None,35.06335689399566,None,2,0.41,0.004800809299922548,None,1.0,35.06335689399566,None,35.06335689399566,None,35.06335689399566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Smoking a pack of cigarettes per day. (H),,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.497364055991056,None,35.497364055991056,None,35.497364055991056,None,2,0.644,0.005392405306338333,None,1.0,35.497364055991056,None,35.497364055991056,None,35.497364055991056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Speaking your mind about an unpopular issue at a social occasion. (S) ,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.16436258298927,None,36.16436258298927,None,36.16436258298927,None,2,0.408,0.002773606320261024,None,1.0,36.16436258298927,None,36.16436258298927,None,36.16436258298927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Spending money impulsively without thinking about the consequences. (F),,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.597266576995025,None,36.597266576995025,None,36.597266576995025,None,2,0.672,0.0005798133061034605,None,1.0,36.597266576995025,None,36.597266576995025,None,36.597266576995025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
