Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,unlikely.started,unlikely.stopped,neutral.started,neutral.stopped,Likely.started,Likely.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Asking your boss for a raise. (S),,,,,0,2,2,2,,,,,,,,,,,,,,,,,,12.911727144004544,None,12.911727144004544,None,12.911727144004544,None,3,0.41,0.006639973595156334,None,2.0,12.911727144004544,None,12.911727144004544,None,12.911727144004544,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Betting a day's income at the horse races. (F),,,,,0,3,3,3,,,,,,,,,,,,,,,,,,13.345879830012564,None,13.345879830012564,None,13.345879830012564,None,3,0.46,0.004729347594548017,None,2.0,13.345879830012564,None,13.345879830012564,None,13.345879830012564,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Buying an illegal drug for your own use. (E),,,,,0,4,4,4,,,,,,,,,,,,,,,,,,13.828788623010041,None,13.828788623010041,None,13.828788623010041,None,3,0.411,0.0060254355921642855,None,2.0,13.828788623010041,None,13.828788623010041,None,13.828788623010041,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Chasing a tornado by car to take photos that you can sell to the press ®,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,14.260944768000627,None,14.260944768000627,None,14.260944768000627,None,3,0.439,0.0016811116074677557,None,2.0,14.260944768000627,None,14.260944768000627,None,14.260944768000627,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Cheating a fair amount on your income tax. (E) ,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,14.744980497998768,None,14.744980497998768,None,14.744980497998768,None,3,0.441,0.004391088601551019,None,2.0,14.744980497998768,None,14.744980497998768,None,14.744980497998768,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Cheating on an exam. (E) ,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,15.21213794000505,None,15.21213794000505,None,15.21213794000505,None,3,0.744,0.0047177466040011495,None,2.0,15.21213794000505,None,15.21213794000505,None,15.21213794000505,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Co-signing a new car loan for a friend. (F),,,,,0,8,8,8,,,,,,,,,,,,,,,,,,15.978214027010836,None,15.978214027010836,None,15.978214027010836,None,3,0.506,0.0024169005919247866,None,2.0,15.978214027010836,None,15.978214027010836,None,15.978214027010836,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Dating someone that you are working with. (S),,,,,0,9,9,9,,,,,,,,,,,,,,,,,,16.511147971003084,None,16.511147971003084,None,16.511147971003084,None,3,0.541,0.0036983595928177238,None,2.0,16.511147971003084,None,16.511147971003084,None,16.511147971003084,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Deciding to share an apartment with someone you don't know well. (S),,,,,0,10,10,10,,,,,,,,,,,,,,,,,,17.078669435009942,None,17.078669435009942,None,17.078669435009942,None,3,0.488,0.006664805609034374,None,2.0,17.078669435009942,None,17.078669435009942,None,17.078669435009942,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Disagreeing with your father on a major issue. (S),,,,,0,11,11,11,,,,,,,,,,,,,,,,,,17.59560375699948,None,17.59560375699948,None,17.59560375699948,None,3,0.526,0.005477738595800474,None,2.0,17.59560375699948,None,17.59560375699948,None,17.59560375699948,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
